,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
18069,North Carolina,Rowa,137805,68041,69764,54926,56126,11045,11574,413,313,669,771,41,42,947,938
18297,North Carolina,Rutherford,67416,32586,34830,28514,30408,3280,3546,120,94,129,178,16,14,527,590
18525,North Carolina,Samps,63514,31159,32355,21179,21428,8298,9219,991,951,137,180,72,54,482,523
18753,North Carolina,Scotland,36275,17763,18512,8283,8664,6959,7216,2007,2102,144,152,8,4,362,374
18981,North Carolina,Stanl,60530,30125,30405,25645,26039,3373,3299,118,95,562,547,97,70,330,355
19209,North Carolina,Stokes,47142,22994,24148,21590,22751,984,952,103,92,59,96,6,7,252,250
19437,North Carolina,Surr,73496,35852,37644,33612,35283,1438,1498,186,176,183,255,22,38,411,394
19665,North Carolina,Swai,14007,6806,7201,4569,4802,56,43,1859,2016,31,41,3,1,288,298
19893,North Carolina,Transylvania,32807,15814,16993,14762,15960,683,581,64,52,65,90,5,9,235,301
20121,North Carolina,Tyrrell,4337,2393,1944,1300,1218,1004,637,15,15,49,39,1,0,24,35
20349,North Carolina,Uni,204888,101112,103776,85199,86789,11785,12787,683,565,1736,1903,72,65,1637,1667
20577,North Carolina,Vance,45288,21206,24082,10212,10996,10434,12542,157,151,97,116,6,9,300,268
20805,North Carolina,Wake,928787,451531,477256,320620,328785,90731,107012,3969,3743,26046,26827,284,314,9881,10575
21033,North Carolina,Warre,20998,10662,10336,4349,4077,5560,5479,566,596,25,34,3,1,159,149
21261,North Carolina,Washing,12904,6052,6852,2958,3193,2944,3516,33,35,14,22,1,0,102,86
21489,North Carolina,Watauga,51626,25854,25772,24704,24682,508,360,81,83,237,279,5,8,319,360
21717,North Carolina,Wayne,124038,60867,63171,39867,39374,18556,21158,465,400,602,916,87,63,1290,1260
21945,North Carolina,Wilkes,68948,34015,34933,31761,32910,1584,1349,102,107,111,147,23,14,434,406
22173,North Carolina,Wils,81155,38698,42457,22802,23797,14753,17524,212,189,378,355,31,32,522,560
22401,North Carolina,Yadki,38342,18912,19430,17931,18415,601,634,129,101,51,58,21,27,179,195
22629,North Carolina,Yance,17690,8714,8976,8444,8747,97,66,55,49,12,24,25,12,81,78
